year,award,title,author
2022,Shortlist,Great Circle,Maggie Shipstead
2022,Shortlist,The Island Of Missing Trees,Elif Shafak
2022,Shortlist,Sorrow And Bliss,Meg Mason
2022,Shortlist,The Bread The Devil Knead,Lisa Allen-Agostini
2022,Shortlist,The Sentence,Louise Erdrich
2022,Winner,The Book Of Form And Emptiness,Ruth Ozeki
2022,Longlist,Build Your House Around My Body,Violet Kupersmith
2022,Longlist,Careless,Kirsty Capes
2022,Longlist,Creatures Of Passage,Morowa Yejidé
2022,Longlist,Flamingo,Rachel Elliott
2022,Longlist,Remote Sympathy,Catherine Chidgey
2022,Longlist,Salt Lick,Lulu Allison
2022,Longlist,The Exhibitionist,Charlotte Mendelson
2022,Longlist,The Final Revival Of Opal & Nev,Dawnie Walton
2022,Longlist,The Paper Palace,Miranda Cowley Heller
2022,Longlist,One Sky Day,Leone Ross
2021,Shortlist,The Vanishing Half,Brit Bennett
2021,Shortlist,Unsettled Ground,Claire Fuller
2021,Shortlist,Transcendent Kingdom,Yaa Gyasi
2021,Shortlist,How The One Armed Sister Sweeps Her House,Cherie Jones
2021,Shortlist,No One Is Talking About This,Patricia Lockwood
2021,Longlist,Small Pleasures,Clare Chambers
2021,Longlist,The Golden Rule,Amanda Craig
2021,Longlist,Exciting Times,Naoise Dolan
2021,Longlist,Burnt Sugar,Avni Doshi
2021,Longlist,Because Of You,Dawn French
2021,Longlist,Luster,Raven Leilani
2021,Longlist,Consent,Annabel Lyon
2021,Longlist,Nothing But Blue Sky,Kathleen MacMahon
2021,Longlist,"Detransition, Baby",Torrey Peters
2021,Longlist,Summer,Ali Smith
2020,Winner,Hamnet,Maggie O’Farrell
2020,Shortlist,"Girl, Woman, Other",Bernardine Evaristo
2020,Shortlist,A Thousand Ships,Natalie Haynes
2020,Shortlist,Dominicana,
2020,Shortlist,The Mirror And The Light,Hilary Mantel
2020,Shortlist,Weather,Jenny Offill
2020,Longlist,Queenie,Candice Carty-Williams
2020,Longlist,The Dutch House,Ann Patchett
2020,Longlist,Actress,Anne Enright
2020,Longlist,Nightingale Point,Luan Goldie
2020,Longlist,Djinn Patrol On The Purple Line,Deepa Anappara
2020,Longlist,How We Disappeared,Jing-Jing Lee
2020,Longlist,The Most Fun We Ever Had,Claire Lombardo
2020,Longlist,Girl,Edna O’Brien
2020,Longlist,Red At The Bone,Jacqueline Woodson
2020,Longlist,Fleishman Is In Trouble,Taffy Brodesser-Akner
2019,Longlist,An American Marriage,Tayari Jones
2019,Shortlist,The Silence Of The Girls,Pat Barker
2019,Shortlist,Circe,Madeline Miller
2019,Shortlist,Ordinary People,Diana Evans
2019,Shortlist,"My Sister, The Serial Killer",Oyinkan Braithwaite
2019,Shortlist,Milkman,Anna Burns
2019,Winner,An American Marriage,Tayari Jones
2019,Longlist,Bottled Goods,Sophie van Llewyn
2019,Longlist,Freshwater,Akwaeke Emezi
2019,Longlist,Ghost Wall,Sarah Moss
2019,Longlist,Lost Children Archive,Valeria Luiselli
2019,Longlist,Normal People,Sally Rooney
2019,Longlist,Number One Chinese Restaurant,Lillian Li
2019,Longlist,Praise Song For The Butterflies,Bernice L. McFadden
2019,Longlist,Remembered,Yvonne Battle-Felton
2019,Longlist,Swan Song,Kelleigh Greenberg-Jephcott
2019,Longlist,The Pisces,Melissa Broder
2018,Longlist,Home Fire,Kamila Shamsie
2018,Shortlist,Sight,Jessie Greengrass
2018,Winner,Home Fire,Kamila Shamsie
2018,Shortlist,"Sing, Unburied, Sing",Jesmyn Ward
2018,Shortlist,The Idiot,Elif Batuman
2018,Shortlist,The Mermaid And Mrs Hancock,Imogen Hermes Gowar
2018,Shortlist,"When I Hit You: Or, A Portrait Of The Writer As A Young Wife",Meena Kandasamy
2018,Longlist,A Boy In Winter,Rachel Seiffert
2018,Longlist,H(a)ppy,Nicola Barker
2018,Longlist,Three Things About Elsie,Joanna Cannon
2018,Longlist,Miss Burma,Charmaine Craig
2018,Longlist,Manhattan Beach,Jennifer Egan
2018,Longlist,Eleanor Oliphant Is Completely Fine,Gail Honeyman
2018,Longlist,Elmet,Fiona Mozley
2018,Longlist,The Ministry Of Utmost Happiness,Arundhati Roy
2018,Longlist,See What I Have Done,Sarah Schmidt
2018,Longlist,The Trick To Time,Kit de Waal
2017,Longlist,The Road Home,Rose Tremain
2017,Shortlist,The Dark Circle,Linda Grant
2017,Winner,The Power,Naomi Alderman
2017,Shortlist,The Sport Of Kings,C.E. Morgan
2017,Shortlist,Do Not Say We Have Nothing,Madeleine Thien
2017,Shortlist,Stay With Me,Ayọ̀bámi Adébáyọ̀̀
2017,Shortlist,First Love,Gwendoline Riley
2017,Longlist,Hag Seed,Hag-Seed
2017,Longlist,Little Deaths,Emma Flint
2017,Longlist,The Mare,Mary Gaitskill
2017,Longlist,The Lesser Bohemians,Eimear McBride
